Theta,I_O,I_P
 0, 0.7796, 0.0390
10, 0.7790, 0.0395
20, 0.7800, 0.0384
30, 0.7815, 0.0385
40, 0.7828, 0.0377
50, 0.7834, 0.0375
60, 0.7820, 0.0377
70, 0.7812, 0.0376
80, 0.7811, 0.0380
90, 0.7820, 0.0386
100, 0.7801, 0.0393
110, 0.7787, 0.0399
120, 0.7755, 0.0407
130, 0.7762, 0.0404
140, 0.7790, 0.0412
150, 0.7772, 0.0418
160, 0.7750, 0.0418
170, 0.7737, 0.0420
180, 0.7725, 0.0420
190, 0.7695, 0.0420
200, 0.7681, 0.0418
210, 0.7702, 0.0421
220, 0.7730, 0.0420
230, 0.7737, 0.0422
240, 0.7750, 0.0422
250, 0.7767, 0.0423
260, 0.7772, 0.0426
270, 0.7804, 0.0427
280, 0.7828, 0.0422
290, 0.7833, 0.0420
300, 0.7830, 0.0419
310, 0.7860, 0.0416
320, 0.7865, 0.0414
330, 0.7854, 0.0411
340, 0.7861, 0.0403
350, 0.7890, 0.0390
360, 0.7902, 0.0393